ssh://ady@localhost:3310/h/321/ady/anaconda3/envs/simclr/bin/python -u /h/321/ady/code/SimCLR/cifar10/linear_eval.py
Using device: cuda
==> Resuming from checkpoint..
best acc:  95.48  start epoch:  196
Evaluating victim
required grad for param name:  fc.weight
required grad for param name:  fc.bias
Epoch 69	Top1 Train accuracy 29.165416717529297	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
Epoch 70	Top1 Train accuracy 29.185832977294922	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
Epoch 71	Top1 Train accuracy 29.222911834716797	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.60546875
Epoch 72	Top1 Train accuracy 29.236522674560547	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.703125
Epoch 73	Top1 Train accuracy 29.274965286254883	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.703125
Epoch 74	Top1 Train accuracy 29.308992385864258	Top1 Test accuracy: 28.2421875	Top5 test acc: 75.703125
Epoch 75	Top1 Train accuracy 29.329408645629883	Top1 Test accuracy: 28.2421875	Top5 test acc: 75.80078125
Epoch 76	Top1 Train accuracy 29.353906631469727	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.80078125
Epoch 77	Top1 Train accuracy 29.378406524658203	Top1 Test accuracy: 28.2421875	Top5 test acc: 75.80078125
Epoch 78	Top1 Train accuracy 29.405628204345703	Top1 Test accuracy: 28.2421875	Top5 test acc: 75.80078125
Epoch 79	Top1 Train accuracy 29.419239044189453	Top1 Test accuracy: 28.33984375	Top5 test acc: 75.80078125
Epoch 80	Top1 Train accuracy 29.430126190185547	Top1 Test accuracy: 28.4375	Top5 test acc: 75.80078125
Epoch 81	Top1 Train accuracy 29.453264236450195	Top1 Test accuracy: 28.4375	Top5 test acc: 75.80078125
Epoch 82	Top1 Train accuracy 29.46551513671875	Top1 Test accuracy: 28.4375	Top5 test acc: 75.80078125
Epoch 83	Top1 Train accuracy 29.48320770263672	Top1 Test accuracy: 28.4375	Top5 test acc: 75.80078125
Epoch 84	Top1 Train accuracy 29.50906753540039	Top1 Test accuracy: 28.53515625	Top5 test acc: 75.703125
Epoch 85	Top1 Train accuracy 29.530845642089844	Top1 Test accuracy: 28.828125	Top5 test acc: 75.703125
